name,ring,quadrant,isNew,description
Java,adopt,languages & frameworks,FALSE,"<a target=""_blank"" href=""https://openjdk.java.net/"">OpenJDK Homepage</a><br><br><a target=""_blank"" href=""https://www.oracle.com/technetwork/java/index.html"">Oracle Java Homepage</a>"
Kotlin,adopt,languages & frameworks,FALSE,
C for SAS Analytics,adopt,languages & frameworks,FALSE,
Javascript,adopt,languages & frameworks,FALSE,
Node,adopt,languages & frameworks,FALSE,
JUnit,adopt,languages & frameworks,FALSE,
Mockito,adopt,languages & frameworks,FALSE,
Python,adopt,languages & frameworks,FALSE,
Typescript,adopt,languages & frameworks,FALSE,
Pact,adopt,languages & frameworks,TRUE,
Spring,adopt,languages & frameworks,FALSE,
Spring Cloud,adopt,languages & frameworks,FALSE,
Spock,adopt,languages & frameworks,FALSE,
Spring Data,adopt,languages & frameworks,FALSE,
SQL,adopt,languages & frameworks,FALSE,
Swift,adopt,languages & frameworks,FALSE,
OpenAPI / Swagger,adopt,languages & frameworks,FALSE,
AWS,adopt,languages & frameworks,FALSE,
Resilience4J,adopt,languages & frameworks,FALSE,
Terraform,adopt,languages & frameworks,FALSE,
Cognito,adopt,languages & frameworks,FALSE,
ArchUnit,adopt,languages & frameworks,FALSE,
Angular,adopt,languages & frameworks,FALSE,
JUnit 5,adopt,languages & frameworks,FALSE,
Lombok,adopt,languages & frameworks,FALSE,
Spring Feign,adopt,languages & frameworks,TRUE,
Jest,adopt,languages & frameworks,TRUE,
Mobile Test Framework,trial,languages & frameworks,FALSE,
Cypress,trial,languages & frameworks,FALSE,
Vavr,trial,languages & frameworks,TRUE,
Jetpack Compose,trial,languages & frameworks,TRUE,
Redis,trial,languages & frameworks,TRUE,
VueJS,assess,languages & frameworks,FALSE,
Java Modules (Jigsaw),assess,languages & frameworks,FALSE,
HTTP/2,assess,languages & frameworks,FALSE,
JMockit,assess,languages & frameworks,FALSE,
Java Version Support,assess,languages & frameworks,FALSE,
REST Assured,assess,languages & frameworks,FALSE,
Coherence,assess,languages & frameworks,FALSE,
Dart Lambdas/Flutter,assess,languages & frameworks,FALSE,
"Column Store Databases (MariaDB, Clickhouse, Redshift, SQL Server Cluster)",assess,languages & frameworks,FALSE,
Terraform cdktf,assess,languages & frameworks,TRUE,
express.js,assess,languages & frameworks,TRUE,
Hazelcast,hold,languages & frameworks,TRUE,
MinIO (Mock Third Party Services),hold,languages & frameworks,TRUE,
Guava Cache,hold,languages & frameworks,TRUE,
Kubeapps,hold,languages & frameworks,FALSE,
Helm,hold,languages & frameworks,FALSE,
SAS Macro,hold,languages & frameworks,FALSE,
C#,hold,languages & frameworks,FALSE,
Groovy for Testing,hold,languages & frameworks,FALSE,
Hibernate,hold,languages & frameworks,FALSE,
Jenkins Pipelines,hold,languages & frameworks,FALSE,
TestNG,hold,languages & frameworks,FALSE,
Excel Macro for Testing,hold,languages & frameworks,FALSE,
WireMock,hold,languages & frameworks,FALSE,
Powershell,hold,languages & frameworks,FALSE,
Pester,hold,languages & frameworks,FALSE,
Scientist,hold,languages & frameworks,FALSE,
Selenium,hold,languages & frameworks,FALSE,
Spring Data REST,hold,languages & frameworks,FALSE,
Akka,hold,languages & frameworks,FALSE,
Vaadin,hold,languages & frameworks,FALSE,
Grails,hold,languages & frameworks,FALSE,
Perl,hold,languages & frameworks,FALSE,
RestEasy,hold,languages & frameworks,FALSE,
Ember,hold,languages & frameworks,FALSE,
Cucumber,hold,languages & frameworks,FALSE,
PowerMock for Statics,hold,languages & frameworks,FALSE,
Aurora,hold,languages & frameworks,FALSE,
TestNG,hold,languages & frameworks,FALSE,Usage dependent - value seen in UI testing
SpringClound Contract with WireMock,hold,languages & frameworks,TRUE,
AWS SNS,adopt,platforms,FALSE,
AWS SQS,adopt,platforms,FALSE,
AWS Lambda,adopt,platforms,FALSE,
AWS API Gateway,adopt,platforms,FALSE,
AWS Cognito,adopt,platforms,FALSE,
AWS DynamoDB,adopt,platforms,FALSE,
AWS RDS - PostgreSQL,adopt,platforms,FALSE,
AWS ECS / Fargate,adopt,platforms,FALSE,
AWS Athena,adopt,platforms,FALSE,
Embedded Tomcat,adopt,platforms,FALSE,
PaaS (Platform as a Service),adopt,platforms,FALSE,
RabbitMQ,adopt,platforms,FALSE,
MySQL,adopt,platforms,FALSE,
MongoDB,adopt,platforms,FALSE,
Linux,adopt,platforms,FALSE,
Amazon RDS,adopt,platforms,FALSE,
Cloud Front,adopt,platforms,FALSE,
Public Cloud (IaaS - Infrastructure as a Service),adopt,platforms,FALSE,
OpenJDK 11+,adopt,platforms,FALSE,
Function as a Service (Serverless),adopt,platforms,FALSE,
AWS S3: Select,adopt,platforms,FALSE,
Twistlock,adopt,platforms,TRUE,
Localstack (local mock AWS),assess,platforms,TRUE,
SAS Viya,trial,platforms,FALSE,Includes Central Analytic Server (CAS)
AWS Elastic File System,trial,platforms,FALSE,
Cloud AMQP,trial,platforms,FALSE,
Retrofit,trial,platforms,FALSE,
Redis/ElastiCache,trial,platforms,TRUE,
AWS SES (Simple Email Service),trial,platforms,TRUE,
Spring Cloud Native Build Pack,assess,platforms,FALSE,
AWS Transfer Family,assess,platforms,TRUE,
AWS MQ,assess,platforms,TRUE,
Azure,hold,platforms,TRUE,
Apache HTTP Server,hold,platforms,FALSE,
AWS Provisioned Lambdas,hold,platforms,FALSE,
COTS Reporting Products,hold,platforms,FALSE,Customizable Off The Shelf (COTS) Reporting Products shouldn't be used at IDeaS within Products as they lack the flexibility and customization capabilities and/or are too expensive for our multi-tenant needs (exception being made to evaluate for Gemini)
Docker with Kubernetes,hold,platforms,FALSE,
XtremIO,hold,platforms,FALSE,
Microsoft SQL Server,hold,platforms,FALSE,
Windows Stack,hold,platforms,FALSE,
AWS EKS,hold,platforms,FALSE,
NGINX,hold,platforms,FALSE,
Kafka,hold,platforms,FALSE,
VMware,hold,platforms,FALSE,
JavaEE,hold,platforms,FALSE,
SAS Macro,hold,platforms,FALSE,
Self Hosting (Data Centers),hold,platforms,FALSE,
Private Cloud (IaaS - Infrastructure as a Service),hold,platforms,FALSE,
.NET,hold,platforms,FALSE,
All Java Versions Prior Java 11,hold,platforms,FALSE,
Compellent Storage Center,hold,platforms,FALSE,<a href='https://en.wikipedia.org/wiki/Dell_Compellent'>Compellent</a>
LDAP,hold,platforms,FALSE,
CAS (Central Authentication Service) for SSO,hold,platforms,FALSE,
Wildfly,hold,platforms,FALSE,
OpenAM,hold,platforms,FALSE,
TDD,adopt,techniques,FALSE,
Multi-tenant Products,adopt,techniques,FALSE,
Blue / Green Deployments,adopt,techniques,FALSE,
Continuous Deployment,adopt,techniques,FALSE,Formerly CI/CD - making it more explicit
Contract Based Testing,adopt,techniques,FALSE,
Logging Standardization,adopt,techniques,FALSE,
Scrum,adopt,techniques,FALSE,
Kanban,adopt,techniques,FALSE,
Code Review,adopt,techniques,FALSE,
Evolutionary Architecture,adopt,techniques,FALSE,
Emergent Design,adopt,techniques,FALSE,
REST,adopt,techniques,FALSE,
Mobile First,adopt,techniques,FALSE,
API First,adopt,techniques,FALSE,"<a target=""_blank"" href=""https://dzone.com/articles/an-api-first-development-approach-1"">DZone Article</a><br/><a target=""_blank"" href=""https://swagger.io/resources/articles/adopting-an-api-first-approach"">Swagger Article</a><br/><a target=""_blank"" href=""https://medium.com/adobetech/three-principles-of-api-first-design-fa6666d9f694"">Adobe Article</a>"
Standardized SonarQube Rules,adopt,techniques,FALSE,
HA/Clustering First,adopt,techniques,FALSE,
Event Driven Architecture (for system integration),adopt,techniques,FALSE,
Cattle Not Pets,adopt,techniques,FALSE,
Agile,adopt,techniques,FALSE,
Branch by Abstraction,adopt,techniques,FALSE,
Zero-Downtime,adopt,techniques,FALSE,
Cloud First,adopt,techniques,FALSE,
Infrastructure as Code,adopt,techniques,FALSE,
Technology Radar,adopt,techniques,FALSE,
REST RMM2,adopt,techniques,FALSE,
Microservices,adopt,techniques,FALSE,
Security/Penetration Testing,adopt,techniques,FALSE,
API Gateway using proxy+,adopt,techniques,TRUE,
Canary Releases,adopt,techniques,FALSE,
Reference Architecture for new AWS Projects,trial,techniques,FALSE,"<a href=""https://bitbucket.org/ideasorg/workspace/projects/REF"">Ref Arch</a>"
Service Mesh,trial,techniques,FALSE,"<a href=""https://www.nginx.com/blog/what-is-a-service-mesh/"">NGINX Article</a>"
Cloud Ready,trial,techniques,FALSE,
Lightweight Architecture Decision Records (ADR),trial,techniques,FALSE,
Exploratory Testing,trial,techniques,FALSE,
Machine Learning (non-SAS),trial,techniques,FALSE,
Test in Production,trial,techniques,FALSE,
Privacy By Design,trial,techniques,FALSE,
Domain Driven Development,assess,techniques,FALSE,
REST RMM3,assess,techniques,FALSE,
DesignOps,assess,techniques,FALSE,
Continuous Deployment,assess,techniques,FALSE,
REST Alternatives,assess,techniques,FALSE,
Reactive Programming (Client),assess,techniques,FALSE,
Domain Centric Data Storage,assess,techniques,FALSE,
Long Running Tests in Branch Builds,hold,techniques,FALSE,
SOAP,hold,techniques,FALSE,
File-based Integrations,hold,techniques,FALSE,
PowerPoint for Requirements and UX Design,hold,techniques,FALSE,
SonarQube,hold,techniques,FALSE,Alternative - Add Tool with Coverage
Environment for Performance Tests,hold,techniques,FALSE,
Bitbucket Pipelines,adopt,tools,FALSE,
IntelliJ,adopt,tools,FALSE,
Redgate,adopt,tools,FALSE,
XRebel,adopt,tools,FALSE,
Git,adopt,tools,FALSE,
Artifactory Cloud,adopt,tools,FALSE,
Maven,adopt,tools,FALSE,
Studio 3T for MongoDB,adopt,tools,FALSE,
Mongock,adopt,tools,TRUE,
Mongo Cloud Manager (Atlas),adopt,tools,FALSE,
Microsoft Teams,adopt,tools,FALSE,
Crowdin,adopt,tools,FALSE,<a href='https://crowdin.com/'>Crowdin</a>
Commvault for Backups,adopt,tools,FALSE,<a href='https://www.commvault.com/>Commvault</a>
SFDC for Sales and CRM,adopt,tools,FALSE,
Black Duck,adopt,tools,FALSE,
Checkmarx,adopt,tools,FALSE,
Exceed LMS,adopt,tools,FALSE,
Postman,adopt,tools,FALSE,<a href='https://www.getpostman.com/'>Postman</a>
Office 365,adopt,tools,FALSE,
"Atlassian Suite (Bitbucket, Confluence, Jira)",adopt,tools,FALSE,
Flyway for Database Migration,adopt,tools,FALSE,<a href='https://flywaydb.org/'>Flyway</a>
DataDog,adopt,tools,FALSE,
WalkMe,adopt,tools,FALSE,
Sonar Cloud,adopt,tools,TRUE,
Gradle,adopt,tools,TRUE,
ServiceNow,trial,tools,FALSE,
Simian Army,trial,tools,FALSE,
Storybook,trial,tools,TRUE,
Web Sequence Diagrams,assess,tools,FALSE,"<ahref=""https://www.websequencediagrams.com/"">Web Sequence Diagrams</a>"
PagerDuty,assess,tools,FALSE,<a href='https://www.pagerduty.com/'>PagerDuty</a>
Lithium,assess,tools,FALSE,<a href='http://lithium.com>Lithium</a>
Madcap Cloud,assess,tools,FALSE,<a href='https://www.madcapsoftware.com/products/central/cloud-content-management.aspx'>Madcap Central</a>
Zendesk,assess,tools,FALSE,<a href='https://www.zendesk.com/'>Zendesk</a>
CMA for SAS,assess,tools,FALSE,
CMA II : Discoverable Apps,assess,tools,FALSE,
GitHub,assess,tools,TRUE,
Mongobee for MongoDB Migrations,hold,tools,TRUE,
Ansible,hold,tools,FALSE,
Jenkins,hold,tools,FALSE,
Graphano,hold,tools,FALSE,
JMeter,hold,tools,FALSE,
JRebel,hold,tools,FALSE,
CMA,hold,tools,FALSE,
Ant,hold,tools,FALSE,
SFDC for Anything But Sales,hold,tools,FALSE,Need to make a choice / provide guidance on usage for Sales vs. Customer Relationship Management vs. Client Services
Tool Choice Ambiguity,hold,tools,FALSE,
Virtual SQL DB for Testing,hold,tools,FALSE,<a href='https://www.idera.com/productssolutions/sqlserver/sqlsafebackup'>SQLSafe</a>
Mongo Compass,hold,tools,FALSE,
Gerrit,hold,tools,FALSE,
Postman Newman,hold,tools,FALSE,
